Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
Perished,3,male,22,1,0,7.25,S
Survived,1,female,38,1,0,71.2833,C
Survived,3,female,26,0,0,7.925,S
Survived,1,female,35,1,0,53.1,S
Perished,3,male,35,0,0,8.05,S
Perished,3,male,,0,0,8.4583,Q
Perished,1,male,54,0,0,51.8625,S
Perished,3,male,2,3,1,21.075,S
Survived,3,female,27,0,2,11.1333,S
Survived,2,female,14,1,0,30.0708,C
Survived,3,female,4,1,1,16.7,S
Survived,1,female,58,0,0,26.55,S
Perished,3,male,20,0,0,8.05,S
Perished,3,male,39,1,5,31.275,S
Perished,3,female,14,0,0,7.8542,S
Survived,2,female,55,0,0,16,S
Perished,3,male,2,4,1,29.125,Q
Survived,2,male,,0,0,13,S
Perished,3,female,31,1,0,18,S
Survived,3,female,,0,0,7.225,C
Perished,2,male,35,0,0,26,S
Survived,2,male,34,0,0,13,S
Survived,3,female,15,0,0,8.0292,Q
Survived,1,male,28,0,0,35.5,S
Perished,3,female,8,3,1,21.075,S
Survived,3,female,38,1,5,31.3875,S
Perished,3,male,,0,0,7.225,C
Perished,1,male,19,3,2,263,S
Survived,3,female,,0,0,7.8792,Q
Perished,3,male,,0,0,7.8958,S
Perished,1,male,40,0,0,27.7208,C
Survived,1,female,,1,0,146.5208,C
Survived,3,female,,0,0,7.75,Q
Perished,2,male,66,0,0,10.5,S
Perished,1,male,28,1,0,82.1708,C
Perished,1,male,42,1,0,52,S
Survived,3,male,,0,0,7.2292,C
Perished,3,male,21,0,0,8.05,S
Perished,3,female,18,2,0,18,S
Survived,3,female,14,1,0,11.2417,C
Perished,3,female,40,1,0,9.475,S
Perished,2,female,27,1,0,21,S
Perished,3,male,,0,0,7.8958,C
Survived,2,female,3,1,2,41.5792,C
Survived,3,female,19,0,0,7.8792,Q
Perished,3,male,,0,0,8.05,S
Perished,3,male,,1,0,15.5,Q
Survived,3,female,,0,0,7.75,Q
Perished,3,male,,2,0,21.6792,C
Perished,3,female,18,1,0,17.8,S
Perished,3,male,7,4,1,39.6875,S
Perished,3,male,21,0,0,7.8,S
Survived,1,female,49,1,0,76.7292,C
Survived,2,female,29,1,0,26,S
Perished,1,male,65,0,1,61.9792,C
Survived,1,male,,0,0,35.5,S
Survived,2,female,21,0,0,10.5,S
Perished,3,male,28.5,0,0,7.2292,C
Survived,2,female,5,1,2,27.75,S
Perished,3,male,11,5,2,46.9,S
Perished,3,male,22,0,0,7.2292,C
Survived,1,female,38,0,0,80,
Perished,1,male,45,1,0,83.475,S
Perished,3,male,4,3,2,27.9,S
Perished,1,male,,0,0,27.7208,C
Survived,3,male,,1,1,15.2458,C
Survived,2,female,29,0,0,10.5,S
Perished,3,male,19,0,0,8.1583,S
Survived,3,female,17,4,2,7.925,S
Perished,3,male,26,2,0,8.6625,S
Perished,2,male,32,0,0,10.5,S
Perished,3,female,16,5,2,46.9,S
Perished,2,male,21,0,0,73.5,S
Perished,3,male,26,1,0,14.4542,C
Survived,3,male,32,0,0,56.4958,S
Perished,3,male,25,0,0,7.65,S
Perished,3,male,,0,0,7.8958,S
Perished,3,male,,0,0,8.05,S
Survived,2,male,0.83,0,2,29,S
Survived,3,female,30,0,0,12.475,S
Perished,3,male,22,0,0,9,S
Survived,3,male,29,0,0,9.5,S
Survived,3,female,,0,0,7.7875,Q
Perished,1,male,28,0,0,47.1,S
Survived,2,female,17,0,0,10.5,S
Survived,3,female,33,3,0,15.85,S
Perished,3,male,16,1,3,34.375,S
Perished,3,male,,0,0,8.05,S
Survived,1,female,23,3,2,263,S
Perished,3,male,24,0,0,8.05,S
Perished,3,male,29,0,0,8.05,S
Perished,3,male,20,0,0,7.8542,S
Perished,1,male,46,1,0,61.175,S
Perished,3,male,26,1,2,20.575,S
Perished,3,male,59,0,0,7.25,S
Perished,3,male,,0,0,8.05,S
Perished,1,male,71,0,0,34.6542,C
Survived,1,male,23,0,1,63.3583,C
Survived,2,female,34,0,1,23,S
Perished,2,male,34,1,0,26,S
Perished,3,female,28,0,0,7.8958,S
Perished,3,male,,0,0,7.8958,S
Perished,1,male,21,0,1,77.2875,S
Perished,3,male,33,0,0,8.6542,S
Perished,3,male,37,2,0,7.925,S
Perished,3,male,28,0,0,7.8958,S
Survived,3,female,21,0,0,7.65,S
Survived,3,male,,0,0,7.775,S
Perished,3,male,38,0,0,7.8958,S
Survived,3,female,,1,0,24.15,Q
Perished,1,male,47,0,0,52,S
Perished,3,female,14.5,1,0,14.4542,C
Perished,3,male,22,0,0,8.05,S
Perished,3,female,20,1,0,9.825,S
Perished,3,female,17,0,0,14.4583,C
Perished,3,male,21,0,0,7.925,S
Perished,3,male,70.5,0,0,7.75,Q
Perished,2,male,29,1,0,21,S
Perished,1,male,24,0,1,247.5208,C
Perished,3,female,2,4,2,31.275,S
Perished,2,male,21,2,0,73.5,S
Perished,3,male,,0,0,8.05,S
Perished,2,male,32.5,1,0,30.0708,C
Survived,2,female,32.5,0,0,13,S
Perished,1,male,54,0,1,77.2875,S
Survived,3,male,12,1,0,11.2417,C
Perished,3,male,,0,0,7.75,Q
Survived,3,male,24,0,0,7.1417,S
Survived,3,female,,1,1,22.3583,C
Perished,3,male,45,0,0,6.975,S
Perished,3,male,33,0,0,7.8958,C
Perished,3,male,20,0,0,7.05,S
Perished,3,female,47,1,0,14.5,S
Survived,2,female,29,1,0,26,S
Perished,2,male,25,0,0,13,S
Perished,2,male,23,0,0,15.0458,C
Survived,1,female,19,0,2,26.2833,S
Perished,1,male,37,1,0,53.1,S
Perished,3,male,16,0,0,9.2167,S
Perished,1,male,24,0,0,79.2,C
Perished,3,female,,0,2,15.2458,C
Survived,3,female,22,0,0,7.75,S
Survived,3,female,24,1,0,15.85,S
Perished,3,male,19,0,0,6.75,Q
Perished,2,male,18,0,0,11.5,S
Perished,2,male,19,1,1,36.75,S
Survived,3,male,27,0,0,7.7958,S
Perished,3,female,9,2,2,34.375,S
Perished,2,male,36.5,0,2,26,S
Perished,2,male,42,0,0,13,S
Perished,2,male,51,0,0,12.525,S
Survived,1,female,22,1,0,66.6,S
Perished,3,male,55.5,0,0,8.05,S
Perished,3,male,40.5,0,2,14.5,S
Perished,3,male,,0,0,7.3125,S
Perished,1,male,51,0,1,61.3792,C
Survived,3,female,16,0,0,7.7333,Q
Perished,3,male,30,0,0,8.05,S
Perished,3,male,,0,0,8.6625,S
Perished,3,male,,8,2,69.55,S
Perished,3,male,44,0,1,16.1,S
Survived,2,female,40,0,0,15.75,S
Perished,3,male,26,0,0,7.775,S
Perished,3,male,17,0,0,8.6625,S
Perished,3,male,1,4,1,39.6875,S
Survived,3,male,9,0,2,20.525,S
Survived,1,female,,0,1,55,S
Perished,3,female,45,1,4,27.9,S
Perished,1,male,,0,0,25.925,S
Perished,3,male,28,0,0,56.4958,S
Perished,1,male,61,0,0,33.5,S
Perished,3,male,4,4,1,29.125,Q
Survived,3,female,1,1,1,11.1333,S
Perished,3,male,21,0,0,7.925,S
Perished,1,male,56,0,0,30.6958,C
Perished,3,male,18,1,1,7.8542,S
Perished,3,male,,3,1,25.4667,S
Perished,1,female,50,0,0,28.7125,C
Perished,2,male,30,0,0,13,S
Perished,3,male,36,0,0,0,S
Perished,3,female,,8,2,69.55,S
Perished,2,male,,0,0,15.05,C
Perished,3,male,9,4,2,31.3875,S
Survived,2,male,1,2,1,39,S
Survived,3,female,4,0,2,22.025,S
Perished,1,male,,0,0,50,S
Survived,3,female,,1,0,15.5,Q
Survived,1,male,45,0,0,26.55,S
Perished,3,male,40,1,1,15.5,Q
Perished,3,male,36,0,0,7.8958,S
Survived,2,female,32,0,0,13,S
Perished,2,male,19,0,0,13,S
Survived,3,female,19,1,0,7.8542,S
Survived,2,male,3,1,1,26,S
Survived,1,female,44,0,0,27.7208,C
Survived,1,female,58,0,0,146.5208,C
Perished,3,male,,0,0,7.75,Q
Perished,3,male,42,0,1,8.4042,S
Survived,3,female,,0,0,7.75,Q
Perished,2,female,24,0,0,13,S
Perished,3,male,28,0,0,9.5,S
Perished,3,male,,8,2,69.55,S
Perished,3,male,34,0,0,6.4958,S
Perished,3,male,45.5,0,0,7.225,C
Survived,3,male,18,0,0,8.05,S
Perished,3,female,2,0,1,10.4625,S
Perished,3,male,32,1,0,15.85,S
Survived,3,male,26,0,0,18.7875,C
Survived,3,female,16,0,0,7.75,Q
Survived,1,male,40,0,0,31,C
Perished,3,male,24,0,0,7.05,S
Survived,2,female,35,0,0,21,S
Perished,3,male,22,0,0,7.25,S
Perished,2,male,30,0,0,13,S
Perished,3,male,,1,0,7.75,Q
Survived,1,female,31,1,0,113.275,C
Survived,3,female,27,0,0,7.925,S
Perished,2,male,42,1,0,27,S
Survived,1,female,32,0,0,76.2917,C
Perished,2,male,30,0,0,10.5,S
Survived,3,male,16,0,0,8.05,S
Perished,2,male,27,0,0,13,S
Perished,3,male,51,0,0,8.05,S
Perished,3,male,,0,0,7.8958,S
Survived,1,male,38,1,0,90,S
Perished,3,male,22,0,0,9.35,S
Survived,2,male,19,0,0,10.5,S
Perished,3,male,20.5,0,0,7.25,S
Perished,2,male,18,0,0,13,S
Perished,3,female,,3,1,25.4667,S
Survived,1,female,35,1,0,83.475,S
Perished,3,male,29,0,0,7.775,S
Perished,2,male,59,0,0,13.5,S
Survived,3,female,5,4,2,31.3875,S
Perished,2,male,24,0,0,10.5,S
Perished,3,female,,0,0,7.55,S
Perished,2,male,44,1,0,26,S
